Kezdes;Nev;AdasDb
651;Imi;2
652;Gabi;3
653;Imi;2
653;Gabi;2
655;Pityu;3
658;Csabi;1
658;Gabi;1
663;Sanyi;1
663;Józsi;2
665;Lali;3
666;Tomi;4
666;Lali;4
670;Feri;2
670;Tibi;2
670;Laci;1
670;Peti;2
671;Lali;4
673;Tomi;2
675;Tomi;3
675;Sanyi;4
677;Csabi;3
678;Imi;2
678;Tomi;3
679;Zoli;1
680;Sanyi;1
680;Gyuri;4
683;Feri;1
683;Zoli;3
684;Laci;4
684;Peti;3
685;Bandi;3
685;Zsombor;4
685;Zoli;2
687;Jani;1
687;Csabi;3
688;Tomi;1
688;Pityu;2
694;Lali;3
695;Jani;1
697;Sanyi;2
697;Laci;1
698;Csabi;4
702;Sanyi;2
706;Feri;1
706;Jani;1
707;Sanyi;2
708;Zsolti;3
711;Tibi;2
711;Gabi;4
714;Pityu;2
716;Sanyi;3
717;Gyuszi;1
717;Lali;1
717;Gyuri;1
717;Sanyi;4
718;Tibi;2
718;Csabi;2
722;Zoli;3
723;Csabi;3
724;Pityu;2
725;Józsi;2
727;Csabi;2
727;Zsolti;1
728;Imi;1
732;Gyuszi;3
732;Lali;3
733;Gabi;4
733;Pityu;3
733;Tomi;3
733;Laci;1
734;Tibi;2
734;Gyuri;4
737;Gabi;2
737;Feri;4
738;Zoli;3
738;Zsombor;1
739;Gyuri;2
745;Gyuri;1
745;Zoli;4
749;Gyuszi;2
750;Tomi;3
750;Laci;4
751;Imi;3
752;Feri;3
754;Lali;1
754;Zoli;1
755;Tibi;1
756;Imi;4
757;Feri;2
757;Jani;2
759;Lali;1
760;Tomi;3
760;Tomi;1
761;Jani;4
761;Lali;3
762;Sanyi;1
765;Csabi;2
768;Zoli;1
768;Józsi;4
772;Imi;2
773;Tomi;1
776;Lali;2
778;Bandi;2
779;Laci;2
781;Jani;4
781;Gabi;1
781;Lali;3
784;Sanyi;2
785;Feri;4
785;Peti;1
790;Gyuri;2
791;Sanyi;3
795;Tomi;1
795;Feri;1
797;Bandi;1
799;Zoli;1
800;Csabi;4
801;Gyuszi;1
802;Zoli;3
803;Bandi;1
803;Bandi;3
804;Tibi;3
804;Jani;2
806;Gabi;3
806;Gyuszi;4
807;Zsombor;2
807;Imi;3
813;Gabi;4
813;Feri;1
813;Zsolti;3
814;Pityu;2
814;Lali;1
815;Gabi;3
817;Zsombor;1
818;Bandi;3
824;Jani;3
827;Peti;2
835;Tibi;2
835;Csabi;3
837;Gyuri;1
